Rank,Points,Votes,Name,Film,Group,"Group
Rank",Vote Distribution,Year,Place of Birth,Gender,Birthday,Deathday,Age,Release Date,Genres,ID
383,20,7,Yalitza Aparicio,Roma,10,23,4124243,2018,Mexico,1,1993-12-11,None,24,2018-08-25,Drama,912
383,20,7,Tom Hanks,Saving Private Ryan,4,20,1223444,1998,USA,2,1956-07-09,None,42,1998-07-24,"Drama, History, War",868
385,20,7,Nicole Kidman,Dogville,5,19,3234134,2003,USA,1,1967-06-20,None,35,2003-05-19,"Crime, Drama, Thriller",671
385,20,7,Nikolai Burlyaev,Ivan's Childhood,9,13,2423342,1962,USSR,2,1946-08-03,None,15,1962-04-06,"Drama, War",931
385,20,7,Hilary Swank,Million Dollar Baby,4,21,3233414,2004,USA,1,1974-07-30,None,30,2004-12-05,Drama,365
385,20,7,Uma Thurman,Pulp Fiction,20,18,2344322,1994,USA,1,1970-04-29,None,24,1994-05-21,"Thriller, Crime",878
385,20,7,Lee Van Cleef,For a Few Dollars More,4,22,3134342,1965,USA,2,1925-01-09,1989-12-16,40,1965-05-10,Western,545
385,20,7,Forest Whitaker,The Crying Game,13,22,3433214,1992,USA,2,1961-07-15,None,31,1992-09-02,"Romance, Crime, Drama, Thriller",291
385,20,7,Faye Dunaway,Bonnie and Clyde,9,13,4422233,1967,USA,1,1941-01-14,None,26,1967-07-18,"Crime, Drama",282
385,20,7,Alec Guinness,Star Wars,16,22,4313324,1977,UK,2,1914-04-02,2000-08-05,63,1977-05-25,"Adventure, Action, Science Fiction",30
385,20,7,Bruno Ganz,The American Friend,19,18,2323244,1977,Switzerland,2,1941-03-22,2019-02-16,36,1977-06-26,"Drama, Thriller",127
385,20,7,James Woods,Videodrome,19,18,2423243,1983,USA,2,1947-04-18,None,35,1983-02-04,"Horror, Mystery, Science Fiction",418
395,20,7,Paul Henreid,Casablanca,20,19,3333233,1942,Slovakia,2,1908-01-10,1992-03-29,34,1942-11-26,"Drama, Romance",690
396,20,6,Setsuko Hara,Late Autumn,3,22,431444,1960,Japan,1,1920-06-17,2015-09-05,40,1960-11-13,Drama,965
396,20,6,Tatsuya Nakadai,The Sword of Doom,7,20,444224,1966,Japan,2,1932-12-13,None,33,1966-02-25,"Action, Drama",958
396,20,6,Burt Lancaster,The Leopard,8,18,442424,1963,USA,2,1913-11-02,1994-10-20,49,1963-03-28,Drama,132
399,20,6,Anouk Aimée,8½,7,21,243344,1963,France,1,1932-04-27,None,30,1963-02-14,"Fantasy, Drama",52
399,20,6,Peter Simonischek,Toni Erdmann,14,16,334244,2016,Austria,2,1946-08-06,None,69,2016-05-14,"Comedy, Drama",719
399,20,6,Tom Courtenay,The Loneliness of the Long Distance Runner,14,16,324443,1962,UK,2,1937-02-25,None,25,1962-09-20,Drama,863
399,20,6,Marion Cotillard,"Two Days, One Night",15,21,433424,2014,France,1,1975-09-30,None,38,2014-05-21,Drama,593
399,20,6,Peter O'Toole,My Favorite Year,9,15,233444,1982,Ireland,2,1932-08-02,2013-12-14,50,1982-10-01,"Comedy, Drama",711
399,20,6,Scarlett Johansson,Under the Skin,10,24,434432,2013,USA,1,1984-11-22,None,28,2013-08-29,"Thriller, Science Fiction, Drama",803
405,20,6,George O'Brien,Sunrise: A Song of Two Humans,5,20,333443,1927,USA,2,1899-04-19,1985-09-04,28,1927-09-23,"Drama, Romance",320
406,20,5,Woody Allen,Manhattan,20,20,44444,1979,USA,2,1935-12-01,None,43,1979-04-18,"Comedy, Drama, Romance",911
406,20,5,Richard Harris,This Sporting Life,12,26,44444,1962,Ireland,2,1930-10-01,2002-10-25,32,1963-01-15,Drama,748
406,20,5,Julianne Moore,Safe,10,25,44444,1995,USA,1,1960-12-03,None,34,1995-01-25,Drama,493
409,19,9,Sean Connery,The Man Who Would Be King,1,25,121223224,1975,UK,2,1930-08-25,2020-10-31,45,1975-12-03,"Adventure, Drama",808
410,19,8,Harry Andrews,The Hill,5,21,32414212,1965,UK,2,1911-11-10,1989-03-06,53,1965-05-22,"Drama, War",347
411,19,8,Sterling Hayden,The Killing,6,21,41222323,1956,USA,2,1916-03-26,1986-05-23,40,1956-05-19,"Crime, Drama, Thriller",835
411,19,8,Graham Chapman,Monty Python's Life of Brian,8,19,24331321,1979,UK,2,1941-01-08,1989-10-04,38,1979-08-17,Comedy,333
413,19,8,Clint Eastwood,Dirty Harry,2,17,32232133,1971,USA,2,1930-05-31,None,41,1971-07-14,"Action, Crime, Thriller",196
414,19,7,Willem Dafoe,The Last Temptation Of Christ,2,18,2421442,1988,USA,2,1955-07-22,None,33,1988-08-12,Drama,898
415,19,7,Takeshi Kitano,Fireworks,10,26,4243132,1997,Japan,2,1947-01-18,None,50,1997-09-03,"Crime, Drama",961
415,19,7,Jack Lemmon,Missing,8,20,3421243,1982,USA,2,1925-02-08,2001-06-27,57,1982-02-12,"Drama, History, Mystery, Thriller",390
415,19,7,Tony Curtis,Sweet Smell of Success,13,23,2414323,1957,USA,2,1925-06-03,2010-09-29,32,1957-06-27,Drama,873
418,19,7,Thelma Ritter,Pickup on South Street,2,19,4332232,1953,USA,1,1902-02-14,1969-02-05,51,1953-05-27,"Crime, Thriller",850
418,19,7,Gael Garcia Bernal,Life's a Bitch,14,18,3323224,2000,Mexico,2,1978-11-30,None,21,2000-06-16,"Drama, Thriller",297
420,19,7,Meryl Streep,The Deer Hunter,4,23,2333233,1978,USA,1,1949-06-22,None,28,1978-03-09,"Drama, War",629
421,19,6,Robert Pattinson,The Lighthouse,4,24,423442,2019,UK,2,1986-05-13,None,33,2019-05-19,"Drama, Fantasy, Thriller, Horror",764
421,19,6,Paul Giamatti,Sideways,5,22,441343,2004,USA,2,1967-06-06,None,37,2004-10-22,"Comedy, Drama, Romance",689
421,19,6,James Stewart,The Philadelphia Story,9,16,442243,1940,USA,2,1908-05-20,1997-07-02,32,1940-12-05,"Comedy, Romance",416
421,19,6,Lauren Bacall,To Have and Have Not,17,23,424243,1944,USA,1,1924-09-16,2014-08-12,20,1944-10-11,"Adventure, Comedy, Romance, Thriller, War",537
421,19,6,Humphrey Bogart,The African Queen,12,27,242434,1951,USA,2,1899-12-25,1957-01-14,52,1951-12-26,"Adventure, Romance",369
421,19,6,Kate Winslet,Heavenly Creatures,12,27,424423,1994,UK,1,1975-10-05,None,18,1994-09-08,"Drama, Fantasy",509
421,19,6,Sean Connery,The Hill,9,16,224344,1965,UK,2,1930-08-25,2020-10-31,34,1965-05-22,"Drama, War",807
421,19,6,Tom Hanks,Forrest Gump,12,27,413443,1994,USA,2,1956-07-09,None,37,1994-06-23,"Comedy, Drama, Romance",866
429,19,6,Greer Garson,Mrs. Miniver,8,21,434323,1942,UK,1,1904-09-29,1996-04-06,37,1942-06-04,"Drama, Romance, War",335
429,19,6,Ian McKellen,Gods and Monsters,12,30,332344,1998,UK,2,1939-05-25,None,58,1998-01-21,Drama,376
429,19,6,Margit Carstensen,The Bitter Tears of Petra von Kant,9,18,243343,1972,Germany,1,1940-02-29,None,32,1972-06-25,Drama,580
429,19,6,Robin Williams,Dead Poets Society,9,18,324433,1989,USA,2,1951-07-21,2014-08-11,37,1989-06-02,Drama,770
433,19,5,Shirley Booth,"Come Back, Little Sheba",15,22,44344,1950,None,1,1898-08-30,1992-10-16,54,1952-12-24,"Romance, Drama",816
434,18,10,Sean Connery,Untouchables,16,23,2211231213,1987,UK,2,1930-08-25,2020-10-31,56,1987-06-02,"Crime, Drama, History, Thriller",809
435,18,9,Michael Douglas,Wall Street,18,20,141232221,1987,USA,2,1944-09-25,None,43,1987-12-10,"Crime, Drama",638
436,18,8,Piper Laurie,Carrie,1,26,34132131,1976,USA,1,1932-01-22,None,44,1976-11-03,"Horror, Thriller",725
437,18,7,Susan Sarandon,Dead Man Walking,12,31,4421412,1995,USA,1,1946-10-04,None,49,1995-12-29,Drama,842
438,18,7,Robert Forster,Jackie Brown,8,22,2422422,1997,USA,2,1941-07-13,2019-10-12,55,1997-04-10,"Crime, Thriller, Drama",760
438,18,7,Henry Fonda,The Ox-Bow Incident,9,20,4431231,1943,USA,2,1905-05-16,1982-08-12,37,1942-12-04,"Drama, Western",361
438,18,7,Lillian Gish,The Wind,4,25,2442231,1928,USA,1,1893-10-14,1993-02-27,34,1928-09-15,"Drama, Romance, Western",550
438,18,7,Margarita Terekhova,Mirror,6,22,1323441,1975,USSR,1,1942-08-25,None,33,1975-11-11,"Drama, History",1006
442,18,7,Sylvester Stallone,Rocky,13,24,4323321,1976,USA,2,1946-07-06,None,30,1976-11-21,Drama,846
442,18,7,Ian Holm,Brazil,11,18,3223431,1985,UK,2,1931-09-12,2020-06-19,53,1985-02-20,"Comedy, Science Fiction",374
444,18,7,Leonardo DiCaprio,The Revenant,9,21,3233223,2015,USA,2,1974-11-11,None,41,2015-12-16,"Western, Drama, Adventure",547
444,18,7,Olivia de Havilland,Gone With the Wind,4,26,2223333,1939,Japan,1,1916-07-01,2020-07-25,23,1939-12-15,"Drama, War, Romance",678
444,18,7,Paul Muni,I am a Fugitive from a Chain Gang,12,32,3123333,1932,Slovakia,2,1895-09-22,1967-08-25,37,1932-11-09,"Crime, Drama",692
447,18,6,Juliette Binoche,Certified Copy,4,27,431442,2010,France,1,1964-03-09,None,46,2010-05-18,"Drama, Romance",501
447,18,6,Beulah Bondi,Make Way for Tomorrow,8,23,314442,1937,USA,1,1889-05-03,1981-01-11,48,1937-05-09,Drama,97
447,18,6,Isabelle Adjani,The Story of Adele H.,7,22,132444,1975,France,1,1955-06-27,None,20,1975-10-08,"Drama, History",387
450,18,6,John Candy,"Planes, Trains & Automobiles",8,24,233244,1987,Canada,2,1950-10-30,1994-03-03,37,1987-11-26,Comedy,466
450,18,6,Olivia Colman,The Favourite,11,19,342324,2018,UK,1,1974-01-30,None,44,2018-08-30,"Drama, History, Comedy",676
450,18,6,Nikolay Cherkasov,"Ivan the Terrible, Part I",15,23,232443,1944,Russian Empire,2,1903-07-27,1966-09-14,41,1944-12-30,"Drama, History",932
450,18,6,Elisabeth Shue,Leaving Las Vegas,14,19,234423,1995,USA,1,1963-10-06,None,32,1995-10-27,"Drama, Romance",250
450,18,6,Dustin Hoffman,Papillon,11,19,422334,1973,USA,2,1937-08-08,None,36,1973-12-13,"Crime, Drama",239
450,18,6,James Cagney,"One, Two, Three",1,27,344223,1961,USA,2,1899-07-17,1986-03-30,62,1961-12-15,"Comedy, Family",404
450,18,6,Laura Harring,Mulholland Drive,16,24,423243,2001,Mexico,1,1964-03-03,None,37,2001-05-16,"Thriller, Drama, Mystery",535
450,18,6,Jodie Foster,The Accused,17,24,443313,1988,USA,1,1962-11-19,None,25,1988-10-14,Drama,460
450,18,6,Sandrine Bonnaire,Vagabond,6,23,242334,1985,France,1,1967-05-31,None,18,1985-08-30,Drama,797
450,18,6,Robin Williams,The Fisher King,16,24,434313,1991,USA,2,1951-07-21,2014-08-11,40,1991-09-20,"Comedy, Drama",771
450,18,6,Alain Delon,Rocco and His Brothers,2,20,423432,1960,France,2,1935-11-08,None,24,1960-09-06,"Crime, Drama",19
450,18,6,Leonardo DiCaprio,What’s Eating Gilbert Grape,15,23,244323,1993,USA,2,1974-11-11,None,18,1993-10-01,"Romance, Drama",546
462,18,6,Tatiana Samoilova,The Cranes Are Flying,14,20,334233,1957,USSR,1,1934-05-04,2014-05-04,23,1957-10-12,"Drama, Romance, War",934
463,18,5,William Holden,The Bridge on the River Kwai,11,21,42444,1957,USA,2,1918-04-17,1981-11-12,39,1957-10-02,"Drama, History, War",905
464,18,5,Errol Flynn,The Adventures of Robin Hood,20,21,44433,1938,Australia,2,1909-06-20,1959-10-14,28,1938-05-12,"Action, Adventure, Romance",273
464,18,5,Jean-Louis Barrault,Children of Paradise,11,22,34434,1945,France,2,1910-09-08,1994-01-22,34,1945-03-15,"Drama, Romance",437
464,18,5,Charlie Chaplin,The Immigrant,15,25,34443,1917,UK,2,1889-04-16,1977-12-25,28,1917-06-17,Comedy,166
464,18,5,Delphine Seyrig,"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",16,26,43344,1975,Lebanon,1,1932-04-10,1990-10-15,43,1975-05-14,Drama,218
464,18,5,Fernando Rey,Le charme discret de la bourgeoisie,20,21,34434,1972,Spain,2,1917-09-20,1994-03-09,55,1972-09-15,Comedy,287
464,18,5,John Hurt,Nineteen Eighty-Four,7,23,34443,1984,UK,2,1940-01-22,2017-01-25,44,1984-10-10,"Drama, Science Fiction, Thriller",471
464,18,5,Charles Laughton,Advise & Consent,2,21,34344,1962,UK,2,1899-07-01,1962-12-15,62,1962-06-06,Drama,158
471,17,8,Jon Voight,Deliverance,4,28,43221221,1972,USA,2,1938-12-29,None,33,1972-07-30,"Drama, Adventure, Thriller",480
471,17,8,Joan Crawford,What Ever Happened to Baby Jane?,2,22,23112422,1962,USA,1,1904-03-23,1977-05-10,58,1962-10-31,"Drama, Horror, Thriller",454
471,17,8,Emma Stone,La La Land,17,25,32211341,2016,USA,1,1988-11-06,None,27,2016-08-31,"Comedy, Drama, Romance, Music",262
474,17,8,Vanessa Redgrave,The Devils,5,23,23211233,1971,UK,1,1937-01-30,None,34,1971-07-01,"Drama, History",1008
475,17,7,Burt Reynolds,Boogie Nights,10,27,2433122,1997,USA,2,1936-02-11,2018-09-06,61,1997-09-11,Drama,133
475,17,7,Hattie McDaniel,Gone With the Wind,9,22,2134232,1939,USA,1,1895-06-10,1952-10-26,44,1939-12-15,"Drama, War, Romance",352
475,17,7,Christopher Lloyd,Back to the Future,3,23,3212234,1985,USA,2,1938-10-22,None,46,1985-07-03,"Adventure, Comedy, Science Fiction, Family",179
478,17,7,Brooklynn Kimberly Prince,The Florida Project,11,23,3322133,2017,USA,1,2010-01-01,None,7,2017-05-22,Drama,121
479,17,6,Robert Walker,Strangers on a Train,4,29,444212,1951,USA,2,1888-06-18,1954-03-04,63,1951-06-27,"Crime, Thriller",768
480,17,6,Jon Voight,Runaway Train,20,23,342242,1985,USA,2,1938-12-29,None,46,1985-12-06,"Action, Thriller, Drama, Adventure",481
480,17,6,Sandra Milo,8½,16,27,213443,1963,Tunisia,1,1935-03-11,None,27,1963-02-14,"Fantasy, Drama",796
480,17,6,Paul Newman,Cat on a Hot Tin Roof,2,23,324413,1958,USA,2,1925-01-26,2008-09-26,33,1958-08-23,"Drama, Romance",693
480,17,6,Olivia DeHavilland,The Heiress,6,24,242234,1949,Japan,1,1916-07-01,2020-07-25,33,1949-10-06,"Drama, Romance",677
480,17,6,Hilary Swank,Boys Don't Cry,6,24,244331,1999,USA,1,1974-07-30,None,25,1999-09-02,"Crime, Drama",364
480,17,6,Marlon Brando,Last Tango in Paris,8,25,434321,1972,USA,2,1924-04-03,2004-07-01,48,1972-10-14,"Drama, Romance",607
480,17,6,Audrey Hepburn,Breakfast at Tiffany's,4,30,443213,1961,Belgium,1,1929-05-04,1993-01-20,32,1961-10-05,"Comedy, Drama, Romance",69
480,17,6,Bruce Dern,Coming Home,15,26,143243,1978,USA,2,1936-06-04,None,41,1978-02-15,"Drama, Romance, War",123
480,17,6,Bill Murray,Groundhog Day,10,28,423422,1993,USA,2,1950-09-21,None,42,1993-02-11,"Romance, Fantasy, Drama, Comedy",100
480,17,6,Adam Sandler,Uncut Gems,15,26,341423,2019,USA,2,1966-09-09,None,53,2019-08-30,"Crime, Thriller, Drama",2
480,17,6,Whoopi Goldberg,The Color Purple,10,28,334214,1985,USA,1,1955-11-13,None,30,1985-12-18,Drama,893
491,17,6,Kirk Douglas,The Bad and the Beautiful,1,28,432332,1952,USA,2,1916-12-09,2020-02-05,36,1952-12-25,"Drama, Romance",525
491,17,6,Marcello Mastroianni,The Stranger,1,28,242333,1967,Italy,2,1924-09-28,1996-12-19,43,1967-10-14,Drama,576
491,17,6,Paulette Goddard,Modern Times,16,28,323432,1936,USA,1,1910-06-03,1990-04-23,25,1936-02-05,"Comedy, Drama",698
491,17,6,Mickey Rourke,Barfly,18,21,232433,1987,USA,2,1952-09-16,None,34,1987-09-02,"Comedy, Drama, Romance",649
491,17,6,Antonio Banderas,Pain and Glory,13,25,433322,2019,Spain,2,1960-08-10,None,58,2019-03-13,Drama,63
491,17,6,David Hemmings,Blowup,13,25,332324,1966,UK,2,1941-11-18,2003-12-03,25,1966-12-18,"Drama, Mystery, Thriller",212
497,17,5,Robert Donat,"Goodbye, Mr. Chips",7,24,44324,1939,UK,2,1905-03-18,1958-06-09,34,1939-05-15,"Drama, Romance",758
497,17,5,Richard Burton,The Spy Who Came In From the Cold,13,27,24443,1965,UK,2,1925-11-10,1984-08-05,40,1965-12-16,"Drama, Thriller",741
497,17,5,ZaSu Pitts,Greed,15,28,42434,1924,USA,1,1894-01-03,1963-06-07,30,1924-12-04,"Drama, Crime",918
500,17,5,Ben Cross,Chariots of Fire,2,24,44333,1981,UK,2,1947-12-16,2020-08-18,33,1981-03-30,"Drama, History",84
500,17,5,Deborah Kerr,Black Narcissus,9,23,33434,1947,UK,1,1921-09-30,2007-10-16,25,1947-04-24,Drama,215
500,17,5,Gong Li,To Live,14,21,33434,1994,China,1,1965-12-31,None,28,1994-05-17,"Drama, Romance, War",974
503,16,8,Shelley Winters,Lolita,8,26,13113124,1962,USA,1,1920-08-18,2006-01-14,41,1962-06-13,"Crime, Drama, Romance",814
504,16,8,Ginger Rogers,Top Hat,15,29,22122223,1935,USA,1,1911-07-16,1995-04-25,24,1935-08-12,"Comedy, Music, Romance",326
505,16,7,Christopher Lee,The Wicker Man,18,22,4122142,1973,UK,2,1922-05-27,2015-06-07,51,1973-12-01,Horror,178
506,16,7,Javier Bardem,Biutiful,9,24,2342212,2010,Spain,2,1969-03-01,None,41,2010-10-20,Drama,430
506,16,7,Mirosław Baka,A Short Film About Killing,7,25,3321214,1988,Poland,2,1953-12-15,None,34,1988-03-11,"Crime, Drama",654
506,16,7,Miriam Hopkins,Trouble in Paradise,3,24,4131331,1932,USA,1,1902-10-18,1972-10-09,30,1932-10-28,"Comedy, Romance, Crime",652
506,16,7,Everett Sloane,Citizen Kane,2,25,3314122,1941,USA,2,1909-10-01,1965-08-06,31,1941-04-17,"Mystery, Drama",278
510,16,7,George Kennedy,Cool Hand Luke,2,26,2333122,1967,USA,2,1925-02-18,2016-02-28,42,1967-06-22,"Crime, Drama",318
511,16,6,Max von Sydow,The Passion of Anna,18,23,444112,1969,Sweden,2,1929-04-10,2020-03-08,40,1969-11-10,Drama,620
512,16,6,Tom Hanks,Philadelphia,13,28,412423,1993,USA,2,1956-07-09,None,37,1993-12-14,Drama,867
512,16,6,Lino Ventura,Army of Shadows,9,25,132244,1969,Italy,2,1919-07-14,1987-10-22,50,1969-09-10,"War, Drama, Thriller",552
512,16,6,Cecilia Roth,All About My Mother,10,30,442222,1999,Argentina,1,1958-08-08,None,40,1999-04-19,"Comedy, Drama",154
512,16,6,Oscar Isaac,Inside Llewyn Davis,13,28,324214,2013,Guatemala,2,1979-03-09,None,34,2013-05-19,Drama,683
516,16,6,Brigitte Bardot,Contempt,15,30,334132,1963,France,1,1934-09-28,None,29,1963-10-29,Drama,117
516,16,6,Geoffrey Rush,Shine,9,26,234232,1996,Australia,2,1951-07-06,None,44,1996-01-21,Drama,313
516,16,6,Forest Whitaker,Ghost Dog: Way of the Samurai,8,27,312334,1999,USA,2,1961-07-15,None,37,1999-06-02,"Crime, Drama",290
516,16,6,Denzel Washington,Glory,1,30,233224,1989,USA,2,1954-12-28,None,34,1989-12-15,"Drama, History, War",224
516,16,6,Gregory Peck,Roman Holiday,10,31,233422,1953,USA,2,1916-04-05,2003-06-12,37,1953-08-20,"Comedy, Romance, Drama",336
516,16,6,Bob Hoskins,Mona Lisa,16,29,222433,1986,UK,2,1942-10-26,2014-04-29,43,1986-05-01,"Crime, Drama, Romance",103
516,16,6,Richard Gere,Days of Heaven,12,33,323422,1978,USA,2,1949-08-31,None,29,1978-09-13,"Drama, Romance",746
516,16,6,Chico Marx,Duck Soup,7,26,223432,1933,USA,2,1887-03-22,1961-10-11,46,1933-11-12,"War, Comedy",170
524,16,5,Jane Fonda,"They Shoot Horses, Don't They?",4,31,44422,1969,USA,1,1937-12-21,None,31,1969-12-10,Drama,425
524,16,5,Marilyn Monroe,The Misfits,19,20,24424,1961,USA,1,1926-06-01,1962-08-05,34,1961-01-01,"Western, Drama, Action, Romance",592
526,16,5,Michael Caine,Sleuth,13,30,32344,1972,UK,2,1933-03-14,None,39,1972-12-10,"Mystery, Thriller, Crime",635
526,16,5,Emil Jannings,The Last Command,2,27,43423,1928,Switzerland,2,1884-07-23,1950-01-02,43,1928-01-21,"Drama, History, Romance, War",260
526,16,5,Philip Seymour Hoffman,"Synecdoche, New York",6,26,42433,2008,USA,2,1967-07-23,2014-02-02,41,2008-10-24,Drama,722
526,16,5,Dirk Bogarde,Victim,15,31,34432,1961,UK,2,1921-03-28,1999-05-08,40,1961-08-01,Drama,233
526,16,5,Walter Huston,The Treasure of the Sierra Madre,13,30,42334,1948,Canada,2,1883-04-05,1950-04-07,64,1948-01-14,"Adventure, Drama, Western",888
531,16,5,Simone Signoret,Army of Shadows,9,27,43333,1969,Germany,1,1921-03-25,1985-09-30,48,1969-09-10,"War, Drama, Thriller",821
531,16,5,Ewan McGregor,Trainspotting,11,24,33343,1996,UK,2,1971-03-31,None,24,1996-02-23,"Drama, Crime",279
531,16,5,Kenneth Branagh,Hamlet,13,32,33433,1996,UK,2,1960-12-10,None,36,1996-12-25,Drama,518
531,16,5,Greta Garbo,Ninotchka,18,24,43333,1939,Sweden,1,1905-09-18,1990-04-15,34,1939-11-09,"Comedy, Romance",339
535,15,7,Jim Broadbent,Topsy-Turvy,3,25,3331311,1999,UK,2,1949-05-24,None,50,1999-09-03,"Comedy, Drama, Music",452
536,15,6,Robert De Niro,Once Upon a Time in America,16,30,241242,1984,USA,2,1943-08-17,None,40,1984-05-20,"Drama, Crime",751
536,15,6,Scarlett Johansson,Marriage Story,17,26,421242,2019,USA,1,1984-11-22,None,34,2019-08-29,Drama,802
536,15,6,Joaquin Phoenix,Joker,15,32,214143,2019,Puerto Rico,2,1974-10-28,None,44,2019-08-31,"Crime, Thriller, Drama",459
539,15,6,Jean-Louis Trintignant,Three Colours: Red,6,27,143322,1994,France,2,1930-12-11,None,63,1994-05-27,"Drama, Mystery, Romance",440
539,15,6,Christian Bale,The Fighter,18,25,432222,2010,UK,2,1974-01-30,None,36,2010-12-17,Drama,175
539,15,6,Madeline Kahn,Blazing Saddles,20,24,413223,1974,USA,1,1942-09-29,1999-12-03,31,1974-02-07,"Western, Comedy",569
539,15,6,Steve McQueen,Bullitt,9,28,232422,1968,USA,2,1930-03-24,1980-11-07,38,1968-10-17,"Action, Crime, Drama, Thriller",837
539,15,6,John Belushi,The Blues Brothers,9,28,142323,1980,USA,2,1949-01-24,1982-03-05,31,1980-06-16,"Music, Comedy, Action, Crime",465
539,15,6,Jacques Tati,My Uncle,2,28,232143,1958,France,2,1907-10-09,1982-11-04,50,1958-05-09,Comedy,399
545,15,6,Chow Yun-fat,Hard Boiled,12,34,223323,1992,China,2,1955-05-18,None,36,1992-04-16,"Action, Thriller, Crime",968
546,15,5,Dean Martin,Rio Bravo,14,22,42441,1959,USA,2,1917-06-07,1995-12-25,41,1959-03-17,Western,214
546,15,5,Emmanuelle Beart,The Beautiful Troublemaker,15,33,41244,1991,France,1,1963-08-14,None,27,1991-05-14,Drama,264
546,15,5,Anna Magnani,Mamma Roma,17,27,44214,1962,Italy,1,1908-03-07,1973-09-26,54,1962-08-31,Drama,46
549,15,5,James Cagney,Angels with Dirty Faces,19,21,22443,1938,USA,2,1899-07-17,1986-03-30,39,1938-11-26,"Crime, Drama, Thriller",403
549,15,5,Boris Plotnikov,Ascent,18,26,24234,1977,USSR,2,1949-04-02,2020-12-02,28,1977-04-02,"Drama, War",926
549,15,5,Richard Widmark,Kiss of Death,9,30,34314,1947,USA,2,1914-12-26,2008-03-24,32,1947-08-27,"Crime, Drama, Thriller",749
549,15,5,Frances McDormand,"Three Billboards Outside Ebbing, Missouri",8,28,42234,2017,USA,1,1957-06-23,None,60,2017-09-04,"Crime, Drama",292
549,15,5,Rooney Mara,Carol,2,29,24234,2015,USA,1,1985-04-17,None,30,2015-05-17,"Romance, Drama",777
549,15,5,Nicole Kidman,Eyes Wide Shut,2,29,42324,1999,USA,1,1967-06-20,None,32,1999-07-16,"Drama, Thriller, Mystery",672
549,15,5,Jean Arthur,The More the Merrier,3,26,22344,1943,USA,1,1900-10-17,1991-06-19,42,1943-03-26,"Comedy, Romance",433
549,15,5,Johnny Depp,Edward Scissorhands,1,31,24234,1990,USA,2,1963-06-09,None,27,1990-12-05,"Fantasy, Drama, Romance",479
549,15,5,Joel McCrea,Sullivan’s Travels,15,34,44322,1941,USA,2,1905-11-05,1990-10-20,36,1941-11-30,"Adventure, Comedy, Romance",464
549,15,5,William H. Macy,Magnolia,10,32,34422,1999,USA,2,1950-03-13,None,49,1999-12-10,Drama,902
549,15,5,Carmen Maura,Women on the Verge of a Nervous Breakdown,1,31,32442,1988,Spain,1,1945-09-15,None,42,1988-03-14,"Comedy, Drama",140
549,15,5,Shoji Yasui,The Burmese Harp,4,32,24423,1956,Japan,2,1928-08-16,2014-03-03,27,1956-01-21,"Drama, Music, War",969
561,15,5,Bob Hoskins,The Long Good Friday,19,22,34332,1980,UK,2,1942-10-26,2014-04-29,38,1980-11-01,"Crime, Drama, Mystery",104
561,15,5,Audrey Hepburn,The Nun's Story,15,35,23343,1959,Belgium,1,1929-05-04,1993-01-20,30,1959-06-18,Drama,71
561,15,5,Laurence Olivier,in Sleuth,4,33,24333,1972,UK,2,1907-05-22,1989-07-11,65,1972-12-10,"Mystery, Thriller, Crime",541
561,15,5,Michael Caine,The Man Who Would Be King,3,27,32334,1975,UK,2,1933-03-14,None,42,1975-12-03,"Adventure, Drama",636
561,15,5,Sakura Ando,Shoplifters,10,33,32343,2018,Japan,1,1986-02-18,None,32,2018-05-13,"Drama, Crime",970
566,15,4,Judi Dench,Mrs. Brown,20,25,4443,1997,UK,1,1934-12-09,None,62,1997-07-18,"Drama, History, Romance",486
566,15,4,Sandy Dennis,Who's Afraid of Virginia Woolf?,8,29,4434,1966,USA,1,1937-04-27,1992-03-02,29,1966-06-21,Drama,799
566,15,4,Tony Leung Chiu Wai,Happy Together,6,28,4344,1997,Hong Kong,2,1962-06-27,None,34,1997-05-17,"Drama, Romance",980
566,15,4,Banlop Lomnoi,Tropical Malady,5,24,4443,2004,Thailand,2,1968-00-00,None,36,2004-05-18,"Drama, Romance, Fantasy",941
566,15,4,Harold Lloyd,Safety Last,17,28,4344,1923,USA,2,1893-04-20,1971-03-08,29,1923-04-01,"Comedy, Romance, Action",344
566,15,4,Ben Gazzara,The Killing of a Chinese Bookie,8,29,4443,1976,USA,2,1930-08-28,2012-02-03,45,1976-02-15,"Thriller, Crime, Drama",86
566,15,4,Arletty,Children of Paradise,1,33,3444,1945,France,1,1898-05-15,1992-07-23,46,1945-03-15,"Drama, Romance",65
566,15,4,Albert Finney,Saturday Night and Sunday Morning,19,23,4344,1960,UK,2,1936-05-09,2019-02-08,24,1960-10-27,"Drama, Romance",24
566,15,4,Tatsuya Nakadai,The Human Condition I: No Greater Love,19,23,3444,1959,Japan,2,1932-12-13,None,27,1959-12-14,"Drama, War, History",957
566,15,4,Karuna Banerjee,The Unvanquished,12,35,4443,1956,India,1,1919-01-01,2001-11-13,37,1956-10-11,Drama,940
576,14,7,Brenda Blethyn,Secrets & Lies,5,25,1241222,1996,UK,1,1946-02-20,None,50,1996-05-10,Drama,111
577,14,7,Reese Witherspoon,Election,11,25,1222133,1999,USA,1,1976-03-22,None,23,1999-04-23,Comedy,735
